circuitId,circuit_name,location,country
25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
29,Adelaide Street Circuit,Adelaide,Australia
1,Albert Park Grand Prix Circuit,Melbourne,Australia
57,Zeltweg,Styria,Austria
70,Red Bull Ring,Spielberg,Austria
73,Baku City Circuit,Baku,Azerbaijan
3,Bahrain International Circuit,Sakhir,Bahrain
13,Circuit de Spa-Francorchamps,Spa,Belgium
40,Zolder,Heusden-Zolder,Belgium
50,Nivelles-Baulers,Brussels,Belgium
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
18,Autódromo José Carlos Pace,São Paulo,Brazil
7,Circuit Gilles Villeneuve,Montreal,Canada
52,Circuit Mont-Tremblant,Quebec,Canada
48,Mosport International Raceway,Ontario,Canada
17,Shanghai International Circuit,Shanghai,China
8,Circuit de Nevers Magny-Cours,Magny Cours,France
55,Reims-Gueux,Reims,France
51,Charade Circuit,Clermont-Ferrand,France
34,Circuit Paul Ricard,Le Castellet,France
54,Le Mans,Le Mans,France
41,Dijon-Prenois,Dijon,France
53,Rouen-Les-Essarts,Rouen,France
20,Nürburgring,Nürburg,Germany
61,AVUS,Berlin,Germany
10,Hockenheimring,Hockenheim,Germany
11,Hungaroring,Budapest,Hungary
68,Buddh International Circuit,Uttar Pradesh,India
21,Autodromo Enzo e Dino Ferrari,Imola,Italy
14,Autodromo Nazionale di Monza,Monza,Italy
65,Pescara Circuit,Pescara,Italy
76,Autodromo Internazionale del Mugello,Mugello,Italy
28,Okayama International Circuit,Okayama,Japan
22,Suzuka Circuit,Suzuka,Japan
16,Fuji Speedway,Oyama,Japan
35,Korean International Circuit,Yeongam County,Korea
2,Sepang International Circuit,Kuala Lumpur,Malaysia
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico
6,Circuit de Monaco,Monte-Carlo,Monaco
64,Ain Diab,Casablanca,Morocco
39,Circuit Park Zandvoort,Zandvoort,Netherlands
62,Monsanto Park Circuit,Lisbon,Portugal
75,Autódromo Internacional do Algarve,Portimão,Portugal
59,Circuito da Boavista,Oporto,Portugal
27,Autódromo do Estoril,Estoril,Portugal
78,Losail International Circuit,Al Daayen,Qatar
71,Sochi Autodrom,Sochi,Russia
77,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
15,Marina Bay Street Circuit,Marina Bay,Singapore
30,Kyalami,Midrand,South Africa
56,Prince George Circuit,Eastern Cape Province,South Africa
12,Valencia Street Circuit,Valencia,Spain
26,Circuito de Jerez,Jerez de la Frontera,Spain
4,Circuit de Barcelona-Catalunya,Montmeló,Spain
49,Montjuïc,Barcelona,Spain
67,Circuit de Pedralbes,Barcelona,Spain
45,Jarama,Madrid,Spain
47,Scandinavian Raceway,Anderstorp,Sweden
66,Circuit Bremgarten,Bern,Switzerland
5,Istanbul Park,Istanbul,Turkey
24,Yas Marina Circuit,Abu Dhabi,UAE
31,Donington Park,Castle Donington,UK
9,Silverstone Circuit,Silverstone,UK
58,Aintree,Liverpool,UK
38,Brands Hatch,Kent,UK
44,Las Vegas Street Circuit,Nevada,USA
69,Circuit of the Americas,Austin,USA
19,Indianapolis Motor Speedway,Indianapolis,USA
42,Fair Park,Dallas,USA
37,Detroit Street Circuit,Detroit,USA
60,Riverside International Raceway,California,USA
43,Long Beach,California,USA
63,Sebring International Raceway,Florida,USA
79,Miami International Autodrome,Miami,USA
46,Watkins Glen,New York State,USA
33,Phoenix street circuit,Phoenix,USA
80,Las Vegas Strip Street Circuit,Las Vegas,United States
