raceId,constructorId,race_points
286,1,0
1,1,0
583,1,0
639,1,0
938,1,0
95,1,0
249,1,0
335,1,0
637,1,0
980,1,0
1008,1,0
435,1,0
616,1,0
642,1,0
454,1,0
503,1,0
511,1,0
24,1,0
62,1,0
102,1,0
254,1,0
425,1,0
391,1,0
524,1,0
940,1,0
133,1,0
228,1,0
504,1,0
887,1,0
261,1,0
549,1,0
926,1,0
203,1,0
903,1,0
961,1,0
999,1,0
263,1,0
555,1,0
17,1,0
138,1,0
152,1,0
383,1,0
531,1,0
609,1,0
677,1,0
1027,1,0
243,1,0
477,1,0
530,1,0
902,1,0
933,1,0
975,1,0
1062,1,0
1099,1,0
226,1,0
257,1,0
371,1,0
404,1,0
674,1,0
1012,1,0
465,1,0
495,1,0
625,1,0
957,1,0
507,1,0
636,1,0
969,1,0
1010,1,0
1016,1,0
1074,1,0
309,1,0
974,1,0
5,1,0
484,1,0
1009,1,0
456,1,0
478,1,0
612,1,0
994,1,0
1098,1,0
112,1,0
488,1,0
509,1,0
497,1,0
546,1,0
1040,1,0
444,1,0
522,1,0
932,1,0
542,1,0
927,1,0
638,1,0
543,1,0
523,1,0
985,1,0
996,1,0
159,1,0
403,1,0
971,1,0
995,1,0
361,1,0
421,1,0
514,1,0
515,1,0
886,1,0
79,1,0
246,1,0
502,1,0
640,1,0
937,1,0
977,1,0
214,1,0
258,1,0
276,1,0
930,1,0
984,1,0
245,1,0
401,1,0
218,1,0
241,1,0
271,1,0
7,1,0
572,1,0
211,1,0
221,1,0
513,1,0
538,1,0
279,1,0
635,1,0
950,1,0
981,1,0
175,1,0
283,1,0
438,1,0
487,1,0
978,1,0
197,1,0
296,1,0
955,1,0
1082,1,0
1087,1,0
96,1,0
262,1,0
516,1,0
928,1,0
494,1,0
506,1,0
539,1,0
582,1,0
1001,1,0
1078,1,0
1106,1,0
158,1,0
414,1,0
553,1,0
217,1,0
954,1,0
1002,1,0
253,1,0
457,1,0
472,1,0
528,1,0
972,1,0
1022,1,0
125,1,0
532,1,0
1004,1,0
1005,1,0
1006,1,0
1102,1,0
116,1,0
248,1,0
394,1,0
904,1,0
948,1,0
964,1,0
966,1,0
213,1,0
265,1,0
568,1,0
944,1,0
94,1,0
155,1,0
529,1,0
929,1,0
519,1,0
600,1,0
945,1,0
970,1,0
6,1,0
464,1,0
483,1,0
581,1,0
500,1,0
537,1,0
586,1,0
939,1,0
943,1,0
33,1,0
238,1,0
334,1,0
8,1,0
92,1,0
291,1,0
370,1,0
485,1,0
466,1,0
1105,1,0
252,1,0
973,1,0
9,2,0
8,2,0
1,2,0
62,2,0
70,2,0
3,2,0
6,2,0
10,2,0
35,2,0
124,2,0
53,2,0
4,2,0
56,2,0
66,2,0
64,2,0
193,3,0
229,3,0
372,3,0
468,3,0
884,3,0
970,3,0
1003,3,0
1053,3,0
1110,3,0
62,3,0
183,3,0
448,3,0
856,3,0
28,3,0
207,3,0
307,3,0
3,3,0
528,3,0
542,3,0
843,3,0
1035,3,0
59,3,0
98,3,0
402,3,0
437,3,0
579,3,0
845,3,0
873,3,0
1016,3,0
1043,3,0
1074,3,0
1134,3,0
1141,3,0
50,3,0
427,3,0
512,3,0
842,3,0
851,3,0
886,3,0
891,3,0
893,3,0
1025,3,0
1060,3,0
1071,3,0
1142,3,0
380,3,0
582,3,0
1102,3,0
1126,3,0
875,3,0
1091,3,0
204,3,0
237,3,0
423,3,0
449,3,0
460,3,0
584,3,0
1042,3,0
51,3,0
189,3,0
255,3,0
331,3,0
855,3,0
1019,3,0
1022,3,0
1070,3,0
1072,3,0
1129,3,0
462,3,0
1118,3,0
1121,3,0
38,3,0
446,3,0
563,3,0
860,3,0
260,3,0
265,3,0
463,3,0
349,3,0
895,3,0
896,3,0
1029,3,0
333,3,0
1044,3,0
97,3,0
841,3,0
869,3,0
881,3,0
1021,3,0
1045,3,0
1114,3,0
165,3,0
251,3,0
481,3,0
530,3,0
533,3,0
540,3,0
850,3,0
1037,3,0
382,3,0
866,3,0
1038,3,0
1086,3,0
1088,3,0
27,3,0
123,3,0
178,3,0
464,3,0
526,3,0
888,3,0
892,3,0
33,3,0
58,3,0
80,3,0
358,3,0
415,3,0
532,3,0
1028,3,0
1036,3,0
1064,3,0
1105,3,0
55,3,0
177,3,0
376,3,0
527,3,0
997,3,0
1000,3,0
103,3,0
325,3,0
517,3,0
1046,3,0
1095,3,0
1131,3,0
1140,3,0
65,3,0
578,3,0
585,3,0
857,3,0
1094,3,0
1123,3,0
1127,3,0
30,3,0
147,3,0
1008,3,0
84,3,0
174,3,0
429,3,0
439,3,0
844,3,0
883,3,0
887,3,0
989,3,0
1082,3,0
1122,3,0
24,3,0
37,3,0
304,3,0
403,3,0
420,3,0
431,3,0
994,3,0
1073,3,0
42,3,0
43,3,0
363,3,0
474,3,0
899,3,0
1093,3,0
1100,3,0
1124,3,0
258,3,0
496,3,0
534,3,0
537,3,0
1055,3,0
1107,3,0
1125,3,0
70,3,0
163,3,0
211,3,0
442,3,0
1001,3,0
1052,3,0
172,3,0
588,3,0
882,3,0
1059,3,0
1051,3,0
531,3,0
957,3,0
31,3,0
539,3,0
17,3,0
853,3,0
991,3,0
1054,3,0
61,3,0
66,3,0
82,3,0
378,3,0
979,3,0
1101,3,0
156,3,0
14,3,0
451,3,0
490,3,0
514,3,0
879,3,0
1084,3,0
373,3,0
450,3,0
465,3,0
858,3,0
973,3,0
998,3,0
1011,3,0
60,3,0
377,3,0
967,3,0
996,3,0
1015,3,0
1033,3,0
1067,3,0
1069,3,0
1077,3,0
1144,3,0
67,3,0
390,3,0
577,3,0
583,3,0
1006,3,0
1030,3,0
1113,3,0
138,3,0
13,3,0
356,3,0
880,3,0
885,3,0
993,3,0
1013,3,0
1085,3,0
69,3,0
245,3,0
492,3,0
863,3,0
897,3,0
1014,3,0
1027,3,0
1135,3,0
131,3,0
143,3,0
164,3,0
1040,3,0
1080,3,0
1099,3,0
1119,3,0
1138,3,0
