raceId,constructorId,team_points,team_wins,team_standing_position
197,1,75,5,1
316,1,108,6,1
392,1,35,2,1
308,1,50,4,1
204,1,128,7,1
205,1,142,8,1
454,1,19,1,1
309,1,50,4,1
375,1,48,4,1
381,1,132,10,1
382,1,147,11,1
476,1,54,4,1
604,1,73,4,1
377,1,78,6,1
378,1,93,7,1
408,1,34,2,1
32,1,135,5,1
87,1,164,9,1
198,1,80,5,1
391,1,31,2,1
441,1,46.5,5,1
576,1,9,1,1
580,1,26.5,2,1
344,1,215,4,1
170,1,135,7,1
317,1,114,6,1
363,1,74,6,1
332,1,109,6,1
453,1,19,1,1
596,1,40,3,1
322,1,19,1,1
333,1,118,6,1
595,1,37,3,1
108,1,16,1,1
196,1,75,5,1
305,1,10,1,1
357,1,21,1,1
387,1,199,15,1
347,1,300,4,1
111,1,51,2,1
114,1,73,2,1
324,1,38,2,1
335,1,118,6,1
367,1,122,9,1
472,1,29,2,1
440,1,42,4,1
1139,1,544,5,1
206,1,156,9,1
365,1,98,7,1
376,1,63,5,1
340,1,109,2,1
192,1,32,2,1
407,1,33,2,1
443,1,59.5,5,1
591,1,18,2,1
1143,1,640,5,1
450,1,128.5,11,1
577,1,15,1,1
18,1,14,1,1
167,1,98,5,1
334,1,118,6,1
187,1,108,6,1
274,1,16,1,1
374,1,33,3,1
341,1,119,2,1
208,1,17,1,1
307,1,40,3,1
360,1,56,4,1
622,1,17,1,1
203,1,125,7,1
383,1,147,11,1
420,1,9,1,1
431,1,79,6,1
386,1,184,14,1
590,1,9,1,1
194,1,49,3,1
330,1,83,4,1
435,1,90,6,1
602,1,61,3,1
329,1,77,4,1
862,1,88,1,1
358,1,36,2,1
366,1,113,8,1
369,1,141,10,1
346,1,278,4,1
321,1,9,1,1
323,1,25,1,1
112,1,51,2,1
169,1,122,6,1
202,1,125,7,1
370,1,141,10,1
373,1,24,2,1
433,1,86,6,1
199,1,86,5,1
380,1,117,9,1
439,1,33,3,1
110,1,39,2,1
275,1,26,2,1
311,1,58,4,1
319,1,132,7,1
384,1,157,12,1
1137,1,476,4,1
1138,1,516,5,1
379,1,102,8,1
451,1,143.5,12,1
621,1,15,1,1
1140,1,566,5,1
109,1,26,2,1
361,1,56,4,1
390,1,31,2,1
448,1,107.5,9,1
191,1,16,1,1
193,1,39,2,1
593,1,26,2,1
343,1,172,3,1
326,1,54,3,1
444,1,59.5,5,1
594,1,35,3,1
195,1,65,4,1
597,1,42,3,1
603,1,70,4,1
345,1,248,4,1
388,1,13,1,1
861,1,55,1,1
186,1,106,6,1
207,1,14,1,1
359,1,47,3,1
438,1,24,2,1
445,1,68.5,6,1
447,1,92.5,8,1
188,1,110,6,1
362,1,65,5,1
1141,1,593,5,1
1142,1,608,5,1
168,1,108,5,1
331,1,96,5,1
312,1,67,4,1
368,1,128,9,1
471,1,29,2,1
623,1,19,1,1
900,1,33,0,1
432,1,83,6,1
592,1,22,2,1
599,1,49,3,1
201,1,118,7,1
372,1,9,1,1
385,1,169,13,1
434,1,90,6,1
325,1,50,3,1
320,1,139,8,1
474,1,42,3,1
336,1,121,6,1
19,1,24,1,1
171,1,141,7,1
436,1,9,1,1
446,1,83.5,7,1
473,1,38,3,1
1144,1,666,6,1
327,1,60,3,1
315,1,99,6,1
437,1,24,2,1
442,1,56.5,5,1
328,1,64,3,1
364,1,89,7,1
371,1,141,10,1
314,1,83,5,1
475,1,45,3,1
306,1,24,2,1
860,1,40,1,1
200,1,102,6,1
310,1,54,4,1
449,1,116.5,10,1
477,1,54,4,1
34,1,145,6,2
181,1,52,3,2
417,1,81,3,2
85,1,136,7,2
182,1,62,4,2
287,1,74,4,2
163,1,52,2,2
481,1,63,4,2
856,1,418,5,2
141,1,6,0,2
152,1,66,3,2
157,1,102,4,2
273,1,6,0,2
575,1,74,6,2
573,1,61,5,2
847,1,186,2,2
82,1,95,4,2
