raceId,driverId,total_points,total_wins,standing_position
132,30,76,6,1
212,35,30,3,1
260,30,40,4,1
275,102,26,2,1
334,102,78,6,1
398,137,63,3,1
477,202,39,2,1
582,182,32,3,1
686,304,43,2,1
937,1,227,6,1
989,20,25,1,1
1063,1,202.5,4,1
1075,844,45,1,1
1132,830,255,7,1
174,57,89,4,2
212,30,27,1,2
213,35,30,3,2
270,71,81,5,2
283,102,50,3,2
286,71,62,3,2
478,187,30,2,2
536,238,36,1,2
350,1,182,3,2
859,18,270,3,2
872,1,142,3,2
879,4,278,3,2
944,3,297,5,2
1046,822,205,2,2
1063,830,199.5,6,2
1067,1,256.5,5,2
152,23,41,3,3
156,22,54,0,3
157,22,56,0,3
9,17,45.5,1,3
15,20,69,3,3
16,22,72,2,3
368,95,38,2,3
382,77,28,0,3
448,173,32,0,3
458,175,23,1,3
504,163,23,2,3
508,199,33,1,3
550,199,27,1,3
652,356,25,1,3
793,642,6.33,0,3
354,20,231,4,3
867,1,88,1,3
1025,844,215,2,3
1055,822,47,0,3
1091,815,235,2,3
1107,4,131,0,3
116,31,39,1,4
133,23,30,1,4
151,23,31,2,4
231,55,21,0,4
336,77,43,0,4
340,1,49,0,4
354,1,222,3,4
847,1,85,1,4
1014,20,64,0,4
1037,848,48,0,4
1054,822,32,0,4
87,21,45,1,5
97,4,25,0,5
465,177,25,1,5
506,163,23,2,5
536,221,26,1,5
872,17,132,2,5
873,17,132,2,5
910,822,95,0,5
936,8,76,0,5
1024,20,194,1,5
1035,846,38,0,5
1055,844,40,0,5
65,18,31,1,6
83,23,32,0,6
250,77,25,0,6
252,77,28,0,6
303,84,34,0,6
336,123,34,1,6
316,137,23,1,6
450,163,27,0,6
340,13,41,0,6
963,830,147,1,6
986,830,148,2,6
1028,848,84,0,6
1045,844,98,0,6
1108,847,82,0,6
14,3,30.5,0,7
892,13,79,0,7
994,4,32,0,7
1064,832,89.5,0,7
1069,832,122.5,0,7
1070,832,130.5,0,7
1133,815,124,0,7
443,105,9.5,1,8
907,18,43,0,8
957,815,47,0,8
1114,847,115,0,8
1116,847,143,0,8
1142,815,152,0,8
84,2,28,0,9
346,30,36,0,9
349,16,45,0,9
1070,842,86,0,9
1108,846,42,0,9
348,16,35,0,10
1044,842,63,1,10
1065,4,50,0,10
1091,822,46,0,10
963,13,41,0,11
1000,839,29,0,12
1003,832,38,0,12
1008,832,45,0,12
914,818,21,0,13
959,826,23,0,14
1096,842,23,0,14
786,622,1.5,0,16
874,811,25,0,16
585,275,0.5,0,18
815,615,1.5,0,19
305,78,0,0,7
576,288,0,0,7
719,347,0,0,7
825,589,0,0,7
357,99,0,0,12
792,644,0,0,12
483,152,0,0,13
948,815,0,0,13
36,24,0,0,14
126,37,0,0,14
127,62,0,0,14
517,173,0,0,14
576,200,0,0,14
592,222,0,0,14
681,388,0,0,14
826,589,0,0,14
950,825,0,0,14
242,85,0,0,15
41,17,0,0,15
513,219,0,0,15
528,222,0,0,15
544,187,0,0,15
594,312,0,0,15
799,577,0,0,15
843,153,0,0,15
73,35,0,0,16
193,68,0,0,16
440,184,0,0,16
453,95,0,0,16
514,223,0,0,16
1011,847,0,0,16
1075,840,0,0,16
96,47,0,0,17
161,48,0,0,17
170,65,0,0,17
236,79,0,0,17
242,64,0,0,17
327,88,0,0,17
5,12,0,0,17
469,197,0,0,17
533,200,0,0,17
1055,847,0,0,17
1074,807,0,0,17
61,24,0,0,18
116,42,0,0,18
136,66,0,0,18
143,56,0,0,18
150,18,0,0,18
212,50,0,0,18
248,94,0,0,18
3,6,0,0,18
531,203,0,0,18
837,619,0,0,18
888,821,0,0,18
953,821,0,0,18
972,835,0,0,18
47,26,0,0,19
62,27,0,0,19
112,51,0,0,19
436,112,0,0,19
489,192,0,0,19
592,289,0,0,19
828,589,0,0,19
852,37,0,0,19
899,824,0,0,19
969,835,0,0,19
20,11,0,0,20
42,18,0,0,20
219,64,0,0,20
498,187,0,0,20
610,305,0,0,20
625,199,0,0,20
662,362,0,0,20
672,346,0,0,20
846,816,0,0,20
899,819,0,0,20
943,834,0,0,20
986,828,0,0,20
1000,845,0,0,20
1027,847,0,0,20
1033,847,0,0,20
1043,849,0,0,20
1070,9,0,0,20
1107,856,0,0,20
31,11,0,0,21
32,11,0,0,21
50,26,0,0,21
62,11,0,0,21
160,65,0,0,21
212,64,0,0,21
237,69,0,0,21
585,276,0,0,21
696,278,0,0,21
748,497,0,0,21
829,731,0,0,21
894,823,0,0,21
907,820,0,0,21
931,825,0,0,21
942,829,0,0,21
61,34,0,0,22
183,41,0,0,22
261,83,0,0,22
380,141,0,0,22
407,157,0,0,22
433,119,0,0,22
498,163,0,0,22
538,200,0,0,22
544,256,0,0,22
592,251,0,0,22
611,330,0,0,22
633,339,0,0,22
726,438,0,0,22
766,582,0,0,22
853,5,0,0,22
1142,858,0,0,22
50,29,0,0,23
52,19,0,0,23
70,11,0,0,23
278,105,0,0,23
297,79,0,0,23
335,112,0,0,23
443,188,0,0,23
463,140,0,0,23
558,267,0,0,23
607,292,0,0,23
613,289,0,0,23
660,369,0,0,23
820,592,0,0,23
352,810,0,0,23
867,39,0,0,23
876,819,0,0,23
105,45,0,0,24
311,100,0,0,24
464,196,0,0,24
516,233,0,0,24
593,292,0,0,24
647,361,0,0,24
689,390,0,0,24
79,19,0,0,25
80,19,0,0,25
308,100,0,0,25
315,127,0,0,25
378,159,0,0,25
385,112,0,0,25
440,84,0,0,25
518,212,0,0,25
753,427,0,0,25
785,483,0,0,25
849,10,0,0,25
85,41,0,0,26
248,92,0,0,26
260,81,0,0,26
270,106,0,0,26
323,133,0,0,26
380,159,0,0,26
409,145,0,0,26
433,112,0,0,26
547,256,0,0,26
555,239,0,0,26
578,197,0,0,26
583,178,0,0,26
652,340,0,0,26
676,365,0,0,26
777,456,0,0,26
801,653,0,0,26
312,128,0,0,27
334,147,0,0,27
318,78,0,0,27
381,131,0,0,27
422,156,0,0,27
571,254,0,0,27
614,262,0,0,27
762,513,0,0,27
788,623,0,0,27
789,625,0,0,27
336,147,0,0,28
458,178,0,0,28
476,205,0,0,28
511,209,0,0,28
518,234,0,0,28
522,136,0,0,28
526,136,0,0,28
599,251,0,0,28
655,333,0,0,28
701,340,0,0,28
727,383,0,0,28
829,773,0,0,28
837,501,0,0,28
852,812,0,0,28
331,110,0,0,29
321,109,0,0,29
373,165,0,0,29
519,235,0,0,29
524,230,0,0,29
582,293,0,0,29
622,329,0,0,29
651,333,0,0,29
744,489,0,0,29
759,531,0,0,29
774,528,0,0,29
457,160,0,0,30
504,140,0,0,30
749,418,0,0,30
750,498,0,0,30
780,597,0,0,30
801,656,0,0,30
822,660,0,0,30
304,136,0,0,31
325,101,0,0,31
431,184,0,0,31
469,170,0,0,31
595,200,0,0,31
822,724,0,0,31
378,146,0,0,32
460,198,0,0,32
477,170,0,0,32
575,284,0,0,32
598,267,0,0,32
603,243,0,0,32
700,334,0,0,32
735,459,0,0,32
311,105,0,0,33
357,92,0,0,33
368,78,0,0,33
371,78,0,0,33
431,178,0,0,33
650,320,0,0,33
727,376,0,0,33
762,505,0,0,33
763,505,0,0,33
797,624,0,0,33
818,501,0,0,33
449,94,0,0,34
493,214,0,0,34
495,215,0,0,34
555,203,0,0,34
575,287,0,0,34
735,462,0,0,34
814,520,0,0,34
525,176,0,0,35
599,269,0,0,35
507,228,0,0,36
536,208,0,0,36
839,784,0,0,36
330,149,0,0,37
479,207,0,0,37
689,371,0,0,37
717,380,0,0,37
810,701,0,0,37
316,142,0,0,38
496,220,0,0,38
630,293,0,0,38
654,366,0,0,38
727,420,0,0,38
750,520,0,0,38
782,431,0,0,38
336,152,0,0,39
367,114,0,0,39
586,295,0,0,39
704,414,0,0,39
751,519,0,0,39
761,538,0,0,39
557,252,0,0,40
653,330,0,0,40
708,409,0,0,40
768,565,0,0,40
551,261,0,0,41
686,377,0,0,41
829,611,0,0,41
598,318,0,0,43
599,320,0,0,43
810,626,0,0,43
371,88,0,0,44
573,279,0,0,44
743,490,0,0,44
812,704,0,0,44
552,263,0,0,45
572,282,0,0,46
556,260,0,0,47
757,511,0,0,47
555,264,0,0,49
601,320,0,0,49
745,484,0,0,49
771,455,0,0,49
759,551,0,0,50
811,660,0,0,50
809,659,0,0,51
802,627,0,0,51
604,315,0,0,52
804,799,0,0,52
806,683,0,0,52
557,265,0,0,53
601,319,0,0,53
772,565,0,0,53
805,799,0,0,53
748,505,0,0,55
750,537,0,0,55
788,509,0,0,55
728,452,0,0,55
805,702,0,0,56
604,219,0,0,57
764,576,0,0,57
782,592,0,0,57
788,529,0,0,57
804,730,0,0,57
788,596,0,0,58
782,609,0,0,59
786,533,0,0,59
812,663,0,0,59
761,353,0,0,60
788,556,0,0,60
751,502,0,0,61
821,739,0,0,61
781,615,0,0,62
819,612,0,0,63
762,540,0,0,65
794,596,0,0,65
821,724,0,0,65
764,528,0,0,66
820,702,0,0,66
815,626,0,0,67
821,449,0,0,69
781,449,0,0,72
816,626,0,0,72
782,526,0,0,73
782,532,0,0,74
815,486,0,0,75
760,401,0,0,76
773,588,0,0,78
797,596,0,0,78
791,526,0,0,84
804,689,0,0,90
822,520,0,0,90
814,715,0,0,94
816,722,0,0,97
176,37,1,0,8
792,648,1,0,8
792,478,1,0,9
143,57,1,0,10
244,44,1,0,11
818,657,1,0,11
72,8,1,0,12
227,84,1,0,12
307,88,1,0,12
378,138,1,0,12
711,364,1,0,12
307,141,1,0,13
180,37,1,0,14
4,7,1,0,14
713,305,1,0,14
725,346,1,0,14
861,30,1,0,14
1075,855,1,0,14
150,50,1,0,15
201,64,1,0,15
392,122,1,0,15
531,175,1,0,15
726,346,1,0,15
1058,8,1,0,15
1076,855,1,0,15
45,18,1,0,16
520,224,1,0,16
1013,826,1,0,16
1126,825,1,0,16
384,94,1,0,17
488,110,1,0,17
744,289,1,0,17
862,30,1,0,17
317,87,1,0,18
415,157,1,0,18
490,110,1,0,18
639,306,1,0,18
852,813,1,0,18
1077,840,1,0,18
101,47,1,0,19
523,182,1,0,19
688,235,1,0,19
106,47,1,0,20
399,163,1,0,20
687,235,1,0,20
641,306,1,0,22
676,347,1,0,23
477,192,1,0,24
753,513,1,0,24
791,555,1,0,27
544,255,2,0,8
740,341,2,0,8
826,658,2,0,8
195,22,2,0,9
730,408,2,0,9
757,510,2,0,9
500,152,2,0,10
409,84,2,0,12
439,175,2,0,12
458,193,2,0,12
704,386,2,0,12
827,704,2,0,12
296,122,2,0,13
424,172,2,0,14
302,94,2,0,15
8,9,2,0,15
9,9,2,0,15
419,175,2,0,15
173,37,2,0,16
812,658,2,0,16
917,813,2,0,16
686,387,2,0,17
1129,839,2,0,17
807,620,2,0,18
771,509,2,0,19
805,625,2,0,19
476,194,2,0,20
806,625,2,0,20
1091,856,2,0,20
479,181,2,0,23
643,306,3,0,4
406,163,3,0,8
562,172,3,0,9
227,63,3,0,10
309,94,3,0,10
819,663,3,0,10
394,170,3,0,11
685,346,3,0,11
724,347,3,0,11
742,360,3,0,11
206,63,3,0,13
5,8,3,0,13
727,440,3,0,13
138,44,3,0,14
798,555,3,0,14
61,15,3,0,15
216,15,3,0,15
397,118,3,0,15
398,118,3,0,15
552,230,3,0,15
26,18,3,0,16
492,207,3,0,16
782,555,3,0,16
574,224,3,0,17
775,356,3,0,18
480,176,3,0,20
371,157,3,0,22
305,137,4,0,3
71,17,4,0,5
137,56,4,0,10
297,110,4,0,10
779,525,4,0,10
839,589,4,0,10
299,100,4,0,11
1032,839,4,0,11
1100,822,4,0,11
419,178,4,0,12
42,11,4,0,13
631,307,4,0,13
239,65,4,0,14
400,156,4,0,14
974,836,4,0,14
154,56,4,0,15
475,163,4,0,16
370,131,4,0,17
1046,841,4,0,17
1088,848,4,0,19
226,57,5,0,5
97,8,5,0,12
783,427,5,0,13
589,207,5,0,14
602,233,5,0,14
272,79,5,0,17
467,199,6,0,2
634,238,6,0,4
669,375,6,0,5
545,224,6,0,6
811,656,6,0,6
381,95,6,0,8
769,554,6,0,9
814,656,6,0,9
185,71,6,0,10
368,140,6,0,10
398,138,6,0,10
155,49,6,0,12
588,172,6,0,12
616,306,6,0,12
617,306,6,0,12
673,370,6,0,12
755,341,6,0,12
78,25,6,0,13
771,554,6,0,13
951,807,6,0,13
1129,807,6,0,14
616,250,7,0,10
269,44,7,0,11
