raceId,driverId,constructorId,position
970,1,131,1
27,1,1,1
912,1,131,1
961,1,131,1
1036,1,131,1
934,1,131,1
973,1,131,1
983,1,131,1
24,1,1,1
13,1,1,1
957,1,131,1
1062,1,131,1
879,1,1,1
1033,1,131,1
998,1,131,1
1053,1,131,1
344,1,1,1
978,1,131,1
1061,1,131,1
1071,1,131,1
1005,1,131,1
1006,1,131,1
888,1,131,1
948,1,131,1
984,1,131,1
1015,1,131,1
51,1,1,1
864,1,1,1
901,1,131,1
1008,1,131,1
34,1,1,1
989,1,131,1
50,1,1,1
931,1,131,1
993,1,131,1
877,1,1,1
965,1,131,1
1017,1,131,1
954,1,131,1
966,1,131,1
985,1,131,1
1039,1,131,1
1067,1,131,1
1051,1,131,1
904,1,131,1
861,1,1,1
872,1,1,1
963,1,131,1
1040,1,131,1
1045,1,131,1
30,1,1,1
17,1,1,1
968,1,131,1
1020,1,131,1
1072,1,131,1
18,1,1,1
913,1,131,1
929,1,131,1
1032,1,131,1
14,1,1,1
890,1,131,1
938,1,131,1
1009,1,131,1
44,1,1,1
926,1,131,1
933,1,131,1
1037,1,131,1
33,1,1,1
1030,1,131,1
887,1,131,1
1001,1,131,1
860,1,1,1
969,1,131,1
873,1,1,1
882,1,131,1
1055,1,131,1
1038,1,131,1
1042,1,131,1
28,1,1,1
42,1,1,1
891,1,131,1
937,1,131,1
41,1,1,1
915,1,131,1
1000,1,131,1
870,1,1,1
936,1,131,1
975,1,131,1
927,1,131,1
1109,1,131,1
981,1,131,1
996,1,131,1
856,1,1,1
932,1,131,1
949,1,131,1
967,1,131,1
1034,1,131,1
11,1,1,1
956,1,131,1
900,1,131,1
903,1,131,1
952,1,131,1
1010,1,131,1
980,1,131,1
1003,1,131,1
928,1,131,1
976,1,131,1
77,2,3,1
917,3,131,1
964,3,131,1
955,3,131,1
910,3,131,1
958,3,131,1
945,3,131,1
884,3,131,1
885,3,131,1
916,3,131,1
951,3,131,1
906,3,131,1
943,3,131,1
941,3,131,1
862,3,131,1
944,3,131,1
962,3,131,1
918,3,131,1
902,3,131,1
914,3,131,1
942,3,131,1
960,3,131,1
950,3,131,1
905,3,131,1
909,3,131,1
911,3,131,1
959,3,131,1
883,3,131,1
940,3,131,1
908,3,131,1
930,3,131,1
46,4,1,1
99,4,4,1
40,4,1,1
57,4,4,1
58,4,4,1
61,4,4,1
10,4,4,1
869,4,6,1
72,4,4,1
59,4,4,1
351,4,6,1
73,4,4,1
109,4,4,1
87,4,4,1
89,4,4,1
120,4,4,1
68,4,4,1
868,4,6,1
48,4,1,1
60,4,4,1
80,4,4,1
350,4,6,1
81,4,4,1
26,5,1,1
974,8,6,1
82,8,1,1
74,8,1,1
36,8,6,1
75,8,1,1
67,8,1,1
1002,8,6,1
25,8,6,1
100,8,1,1
64,8,1,1
85,8,1,1
122,8,1,1
49,8,6,1
21,8,6,1
116,8,1,1
84,8,1,1
65,8,1,1
45,8,6,1
76,8,1,1
20,9,2,1
70,13,6,1
47,13,6,1
38,13,6,1
52,13,6,1
22,13,6,1
37,13,6,1
29,13,6,1
19,13,6,1
32,13,6,1
43,13,6,1
907,13,3,1
35,13,6,1
23,13,6,1
69,13,6,1
39,13,6,1
66,13,6,1
253,14,3,1
252,14,3,1
254,14,3,1
251,14,3,1
241,14,3,1
193,14,1,1
79,15,7,1
95,15,4,1
103,15,4,1
4,15,7,1
9,17,9,1
342,17,9,1
897,17,9,1
339,17,9,1
895,17,9,1
849,17,9,1
341,17,9,1
349,17,9,1
875,17,9,1
343,17,9,1
845,17,9,1
850,17,9,1
871,18,1,1
55,18,11,1
2,18,23,1
78,18,16,1
1,18,23,1
6,18,23,1
93,18,16,1
5,18,23,1
3,20,9,1
843,20,9,1
874,20,9,1
886,20,9,1
1026,20,6,1
8,20,9,1
348,20,9,1
841,20,9,1
842,20,9,1
855,20,9,1
881,20,9,1
347,20,9,1
851,20,9,1
991,20,6,1
894,20,9,1
846,20,9,1
858,20,9,1
990,20,6,1
979,20,6,1
857,20,9,1
852,20,9,1
1016,20,6,1
346,20,9,1
340,20,9,1
848,20,9,1
859,20,9,1
867,20,9,1
992,20,6,1
876,20,9,1
995,20,6,1
972,20,6,1
345,20,9,1
893,20,9,1
337,20,9,1
31,20,5,1
844,20,9,1
878,20,9,1
7,20,9,1
866,20,9,1
982,20,6,1
880,20,9,1
999,20,6,1
355,20,9,1
899,20,9,1
892,20,9,1
939,20,6,1
853,20,9,1
15,20,9,1
338,20,9,1
847,20,9,1
986,20,6,1
353,20,9,1
854,20,9,1
863,20,9,1
898,20,9,1
896,20,9,1
352,20,9,1
54,21,4,1
71,21,4,1
12,21,10,1
200,21,22,1
118,22,6,1
110,22,6,1
16,22,23,1
123,22,6,1
267,22,17,1
105,22,6,1
104,22,6,1
107,22,6,1
161,22,6,1
98,22,6,1
117,23,3,1
114,23,3,1
115,23,3,1
97,23,3,1
88,23,7,1
173,30,6,1
229,30,6,1
56,30,6,1
266,30,22,1
111,30,6,1
271,30,22,1
94,30,6,1
261,30,22,1
262,30,22,1
62,30,6,1
865,30,131,1
90,30,6,1
53,30,6,1
214,30,6,1
113,30,6,1
102,30,6,1
108,30,6,1
92,30,6,1
106,30,6,1
243,30,22,1
242,30,22,1
101,30,6,1
63,30,6,1
140,30,6,1
121,30,6,1
125,30,6,1
228,30,6,1
96,30,6,1
255,30,22,1
91,30,6,1
112,30,6,1
213,30,6,1
245,30,22,1
270,30,22,1
156,30,6,1
83,30,6,1
119,31,3,1
86,31,1,1
207,35,3,1
215,35,3,1
208,35,3,1
209,35,3,1
212,35,3,1
210,35,3,1
224,35,3,1
211,49,3,1
268,55,6,1
192,57,1,1
203,57,1,1
191,57,1,1
160,57,1,1
177,57,1,1
199,57,1,1
201,57,1,1
176,57,1,1
175,57,1,1
158,57,1,1
256,71,3,1
247,71,3,1
263,71,3,1
264,71,3,1
226,71,3,1
240,71,3,1
249,71,3,1
225,71,3,1
246,71,3,1
230,71,3,1
244,71,3,1
248,71,3,1
227,71,3,1
216,77,22,1
269,77,6,1
250,77,6,1
265,77,6,1
272,95,3,1
258,102,3,1
257,102,3,1
259,102,3,1
354,807,3,1
1102,815,9,1
1075,815,9,1
1099,815,9,1
994,817,9,1
953,817,9,1
1007,817,9,1
1012,822,131,1
1031,822,131,1
1035,822,131,1
1013,822,131,1
1046,822,131,1
977,822,131,1
1043,822,131,1
1014,822,131,1
1004,822,131,1
1028,822,131,1
988,822,131,1
1070,822,131,1
997,822,131,1
971,822,131,1
1019,822,131,1
1041,822,131,1
1054,822,131,1
987,822,131,1
1065,822,131,1
1095,825,210,1
1131,830,9,1
1107,830,9,1
1052,830,9,1
1124,830,9,1
1106,830,9,1
1087,830,9,1
1143,830,9,1
1021,830,9,1
1127,830,9,1
1059,830,9,1
1082,830,9,1
1121,830,9,1
1064,830,9,1
1114,830,9,1
1063,830,9,1
1060,830,9,1
1069,830,9,1
1111,830,9,1
1100,830,9,1
1134,830,9,1
1098,830,9,1
1104,830,9,1
1125,830,9,1
1084,830,9,1
1077,830,9,1
1094,830,9,1
1120,830,9,1
1073,830,9,1
1110,830,9,1
1029,830,9,1
1027,830,9,1
1123,830,9,1
1058,830,9,1
1108,830,9,1
1047,830,9,1
1126,830,9,1
1122,830,9,1
1118,830,9,1
1092,830,9,1
1096,830,9,1
1105,830,9,1
1115,830,9,1
1088,830,9,1
1140,832,6,1
1093,832,6,1
1083,832,6,1
1112,832,6,1
1113,832,6,1
1044,840,211,1
1022,844,6,1
1085,844,6,1
1128,844,6,1
1101,844,6,1
1078,844,6,1
1116,844,6,1
1011,844,6,1
1119,844,6,1
1018,844,6,1
1081,844,6,1
1091,844,6,1
1074,844,6,1
1080,844,6,1
1079,844,6,1
1023,844,6,1
1024,844,6,1
1025,844,6,1
1056,844,6,1
1137,844,6,1
1089,844,6,1
1076,844,6,1
1057,844,6,1
1117,844,6,1
1066,846,1,1
1130,846,1,1
1133,846,1,1
1135,846,1,1
1141,846,1,1
1139,846,1,1
1144,846,1,1
1136,846,1,1
1138,846,1,1
1132,847,131,1
1142,847,131,1
1086,847,131,1
1129,847,131,1
858,1,1,2
1012,1,131,2
992,1,131,2
1025,1,131,2
48,1,1,2
349,1,1,2
1023,1,131,2
906,1,131,2
914,1,131,2
917,1,131,2
1016,1,131,2
942,1,131,2
