raceId,year,race_name,circuitId,race_date
1046,2020,Sakhir Grand Prix,3,2020-12-06
1035,2020,70th Anniversary Grand Prix,9,2020-08-09
1071,2021,São Paulo Grand Prix,18,2021-11-14
1095,2022,São Paulo Grand Prix,18,2022-11-13
1141,2024,São Paulo Grand Prix,18,2024-11-03
1118,2023,São Paulo Grand Prix,18,2023-11-05
205,1998,Luxembourg Grand Prix,20,1998-09-27
221,1997,Luxembourg Grand Prix,20,1997-09-28
1041,2020,Eifel Grand Prix,20,2020-10-11
1053,2021,Emilia Romagna Grand Prix,21,2021-04-18
1043,2020,Emilia Romagna Grand Prix,21,2020-11-01
1077,2022,Emilia Romagna Grand Prix,21,2022-04-24
1127,2024,Emilia Romagna Grand Prix,21,2024-05-19
254,1995,Pacific Grand Prix,28,1995-10-22
258,1994,Pacific Grand Prix,28,1994-04-17
1140,2024,Mexico City Grand Prix,32,2024-10-27
1117,2023,Mexico City Grand Prix,32,2023-10-29
1094,2022,Mexico City Grand Prix,32,2022-10-30
1070,2021,Mexico City Grand Prix,32,2021-11-07
894,2013,Korean Grand Prix,35,2013-10-06
353,2010,Korean Grand Prix,35,2010-10-24
856,2011,Korean Grand Prix,35,2011-10-16
875,2012,Korean Grand Prix,35,2012-10-14
444,1984,Dallas Grand Prix,42,1984-07-08
497,1981,Caesars Palace Grand Prix,44,1981-10-17
482,1982,Caesars Palace Grand Prix,44,1982-09-25
775,1958,Moroccan Grand Prix,64,1958-10-19
782,1957,Pescara Grand Prix,65,1957-08-18
896,2013,Indian Grand Prix,68,2013-10-27
857,2011,Indian Grand Prix,68,2011-10-30
876,2012,Indian Grand Prix,68,2012-10-28
1032,2020,Styrian Grand Prix,70,2020-07-12
1058,2021,Styrian Grand Prix,70,2021-06-27
1039,2020,Tuscan Grand Prix,76,2020-09-13
1122,2024,Saudi Arabian Grand Prix,77,2024-03-09
1072,2021,Saudi Arabian Grand Prix,77,2021-12-05
1099,2023,Saudi Arabian Grand Prix,77,2023-03-19
1075,2022,Saudi Arabian Grand Prix,77,2022-03-27
1051,2021,Qatar Grand Prix,78,2021-11-21
1143,2024,Qatar Grand Prix,78,2024-12-01
1115,2023,Qatar Grand Prix,78,2023-10-08
1078,2022,Miami Grand Prix,79,2022-05-08
1102,2023,Miami Grand Prix,79,2023-05-07
1126,2024,Miami Grand Prix,79,2024-05-05
1119,2023,Las Vegas Grand Prix,80,2023-11-19
1142,2024,Las Vegas Grand Prix,80,2024-11-23
1144,2024,Abu Dhabi Grand Prix,24,2024-12-08
17,2009,Abu Dhabi Grand Prix,24,2009-11-01
1096,2022,Abu Dhabi Grand Prix,24,2022-11-20
1073,2021,Abu Dhabi Grand Prix,24,2021-12-12
858,2011,Abu Dhabi Grand Prix,24,2011-11-13
1009,2018,Abu Dhabi Grand Prix,24,2018-11-25
1030,2019,Abu Dhabi Grand Prix,24,2019-12-01
988,2017,Abu Dhabi Grand Prix,24,2017-11-26
968,2016,Abu Dhabi Grand Prix,24,2016-11-27
1120,2023,Abu Dhabi Grand Prix,24,2023-11-26
355,2010,Abu Dhabi Grand Prix,24,2010-11-14
1047,2020,Abu Dhabi Grand Prix,24,2020-12-13
918,2014,Abu Dhabi Grand Prix,24,2014-11-23
877,2012,Abu Dhabi Grand Prix,24,2012-11-04
897,2013,Abu Dhabi Grand Prix,24,2013-11-03
945,2015,Abu Dhabi Grand Prix,24,2015-11-29
784,1956,Argentine Grand Prix,25,1956-01-22
590,1974,Argentine Grand Prix,25,1974-01-13
193,1998,Argentine Grand Prix,25,1998-04-12
808,1953,Argentine Grand Prix,25,1953-01-18
746,1960,Argentine Grand Prix,25,1960-02-07
209,1997,Argentine Grand Prix,25,1997-04-13
498,1980,Argentine Grand Prix,25,1980-01-13
620,1972,Argentine Grand Prix,25,1972-01-23
512,1979,Argentine Grand Prix,25,1979-01-21
576,1975,Argentine Grand Prix,25,1975-01-12
792,1955,Argentine Grand Prix,25,1955-01-16
605,1973,Argentine Grand Prix,25,1973-01-28
799,1954,Argentine Grand Prix,25,1954-01-17
485,1981,Argentine Grand Prix,25,1981-04-12
543,1977,Argentine Grand Prix,25,1977-01-09
527,1978,Argentine Grand Prix,25,1978-01-15
226,1996,Argentine Grand Prix,25,1996-04-07
241,1995,Argentine Grand Prix,25,1995-04-09
765,1958,Argentine Grand Prix,25,1958-01-19
776,1957,Argentine Grand Prix,25,1957-01-13
1,2009,Australian Grand Prix,1,2009-03-29
1100,2023,Australian Grand Prix,1,2023-04-02
71,2005,Australian Grand Prix,1,2005-03-06
969,2017,Australian Grand Prix,1,2017-03-26
90,2004,Australian Grand Prix,1,2004-03-07
124,2002,Australian Grand Prix,1,2002-03-03
55,2006,Australian Grand Prix,1,2006-04-02
989,2018,Australian Grand Prix,1,2018-03-25
948,2016,Australian Grand Prix,1,2016-03-20
18,2008,Australian Grand Prix,1,2008-03-16
175,1999,Australian Grand Prix,1,1999-03-07
841,2011,Australian Grand Prix,1,2011-03-27
880,2013,Australian Grand Prix,1,2013-03-17
191,1998,Australian Grand Prix,1,1998-03-08
1123,2024,Australian Grand Prix,1,2024-03-24
860,2012,Australian Grand Prix,1,2012-03-18
108,2003,Australian Grand Prix,1,2003-03-09
141,2001,Australian Grand Prix,1,2001-03-04
224,1996,Australian Grand Prix,1,1996-03-10
158,2000,Australian Grand Prix,1,2000-03-12
1076,2022,Australian Grand Prix,1,2022-04-10
207,1997,Australian Grand Prix,1,1997-03-09
900,2014,Australian Grand Prix,1,2014-03-16
36,2007,Australian Grand Prix,1,2007-03-18
1010,2019,Australian Grand Prix,1,2019-03-17
338,2010,Australian Grand Prix,1,2010-03-28
926,2015,Australian Grand Prix,1,2015-03-15
288,1993,Australian Grand Prix,29,1993-11-07
403,1987,Australian Grand Prix,29,1987-11-15
304,1992,Australian Grand Prix,29,1992-11-08
419,1986,Australian Grand Prix,29,1986-10-26
256,1995,Australian Grand Prix,29,1995-11-12
320,1991,Australian Grand Prix,29,1991-11-03
387,1988,Australian Grand Prix,29,1988-11-13
272,1994,Australian Grand Prix,29,1994-11-13
435,1985,Australian Grand Prix,29,1985-11-03
336,1990,Australian Grand Prix,29,1990-11-04
371,1989,Australian Grand Prix,29,1989-11-05
715,1964,Austrian Grand Prix,57,1964-08-23
220,1997,Austrian Grand Prix,70,1997-09-21
146,2001,Austrian Grand Prix,70,2001-05-13
522,1979,Austrian Grand Prix,70,1979-08-12
1084,2022,Austrian Grand Prix,70,2022-07-10
447,1984,Austrian Grand Prix,70,1984-08-19
129,2002,Austrian Grand Prix,70,2002-05-12
462,1983,Austrian Grand Prix,70,1983-08-14
587,1975,Austrian Grand Prix,70,1975-08-17
1060,2021,Austrian Grand Prix,70,2021-07-04
167,2000,Austrian Grand Prix,70,2000-07-16
997,2018,Austrian Grand Prix,70,2018-07-01
183,1999,Austrian Grand Prix,70,1999-07-25
479,1982,Austrian Grand Prix,70,1982-08-15
601,1974,Austrian Grand Prix,70,1974-08-18
1031,2020,Austrian Grand Prix,70,2020-07-05
907,2014,Austrian Grand Prix,70,2014-06-22
956,2016,Austrian Grand Prix,70,2016-07-03
507,1980,Austrian Grand Prix,70,1980-08-17
1131,2024,Austrian Grand Prix,70,2024-06-30
429,1985,Austrian Grand Prix,70,1985-08-18
628,1972,Austrian Grand Prix,70,1972-08-13
538,1978,Austrian Grand Prix,70,1978-08-13
651,1970,Austrian Grand Prix,70,1970-08-16
397,1987,Austrian Grand Prix,70,1987-08-16
639,1971,Austrian Grand Prix,70,1971-08-15
493,1981,Austrian Grand Prix,70,1981-08-16
1018,2019,Austrian Grand Prix,70,2019-06-30
1107,2023,Austrian Grand Prix,70,2023-07-02
200,1998,Austrian Grand Prix,70,1998-07-26
977,2017,Austrian Grand Prix,70,2017-07-09
570,1976,Austrian Grand Prix,70,1976-08-15
933,2015,Austrian Grand Prix,70,2015-06-21
554,1977,Austrian Grand Prix,70,1977-08-14
113,2003,Austrian Grand Prix,70,2003-05-18
415,1986,Austrian Grand Prix,70,1986-08-17
616,1973,Austrian Grand Prix,70,1973-08-19
992,2018,Azerbaijan Grand Prix,73,2018-04-29
1101,2023,Azerbaijan Grand Prix,73,2023-04-30
1081,2022,Azerbaijan Grand Prix,73,2022-06-12
976,2017,Azerbaijan Grand Prix,73,2017-06-25
1013,2019,Azerbaijan Grand Prix,73,2019-04-28
1057,2021,Azerbaijan Grand Prix,73,2021-06-06
1137,2024,Azerbaijan Grand Prix,73,2024-09-15
1074,2022,Bahrain Grand Prix,3,2022-03-20
1011,2019,Bahrain Grand Prix,3,2019-03-31
92,2004,Bahrain Grand Prix,3,2004-04-04
990,2018,Bahrain Grand Prix,3,2018-04-08
883,2013,Bahrain Grand Prix,3,2013-04-21
1098,2023,Bahrain Grand Prix,3,2023-03-05
863,2012,Bahrain Grand Prix,3,2012-04-22
1121,2024,Bahrain Grand Prix,3,2024-03-02
38,2007,Bahrain Grand Prix,3,2007-04-15
4,2009,Bahrain Grand Prix,3,2009-04-26
1052,2021,Bahrain Grand Prix,3,2021-03-28
73,2005,Bahrain Grand Prix,3,2005-04-03
971,2017,Bahrain Grand Prix,3,2017-04-16
337,2010,Bahrain Grand Prix,3,2010-03-14
902,2014,Bahrain Grand Prix,3,2014-04-06
20,2008,Bahrain Grand Prix,3,2008-04-06
1045,2020,Bahrain Grand Prix,3,2020-11-29
53,2006,Bahrain Grand Prix,3,2006-03-12
929,2015,Bahrain Grand Prix,3,2015-04-19
949,2016,Bahrain Grand Prix,3,2016-04-03
691,1966,Belgian Grand Prix,13,1966-06-12
787,1956,Belgian Grand Prix,13,1956-06-03
646,1970,Belgian Grand Prix,13,1970-06-07
250,1995,Belgian Grand Prix,13,1995-08-27
315,1991,Belgian Grand Prix,13,1991-08-25
457,1983,Belgian Grand Prix,13,1983-05-22
852,2011,Belgian Grand Prix,13,2011-08-28
811,1953,Belgian Grand Prix,13,1953-06-21
891,2013,Belgian Grand Prix,13,2013-08-25
86,2005,Belgian Grand Prix,13,2005-09-11
670,1968,Belgian Grand Prix,13,1968-06-09
186,1999,Belgian Grand Prix,13,1999-08-29
980,2017,Belgian Grand Prix,13,2017-08-27
827,1951,Belgian Grand Prix,13,1951-06-17
701,1965,Belgian Grand Prix,13,1965-06-13
154,2001,Belgian Grand Prix,13,2001-09-02
390,1987,Belgian Grand Prix,13,1987-05-17
1134,2024,Belgian Grand Prix,13,2024-07-28
1110,2023,Belgian Grand Prix,13,2023-07-30
218,1997,Belgian Grand Prix,13,1997-08-24
408,1986,Belgian Grand Prix,13,1986-05-25
801,1954,Belgian Grand Prix,13,1954-06-20
795,1955,Belgian Grand Prix,13,1955-06-05
711,1964,Belgian Grand Prix,13,1964-06-14
137,2002,Belgian Grand Prix,13,2002-09-01
720,1963,Belgian Grand Prix,13,1963-06-09
1022,2019,Belgian Grand Prix,13,2019-09-01
12,2009,Belgian Grand Prix,13,2009-08-30
49,2007,Belgian Grand Prix,13,2007-09-16
871,2012,Belgian Grand Prix,13,2012-09-02
349,2010,Belgian Grand Prix,13,2010-08-29
432,1985,Belgian Grand Prix,13,1985-09-15
769,1958,Belgian Grand Prix,13,1958-06-15
366,1989,Belgian Grand Prix,13,1989-08-27
382,1988,Belgian Grand Prix,13,1988-08-28
819,1952,Belgian Grand Prix,13,1952-06-22
837,1950,Belgian Grand Prix,13,1950-06-18
30,2008,Belgian Grand Prix,13,2008-09-07
284,1993,Belgian Grand Prix,13,1993-08-29
682,1967,Belgian Grand Prix,13,1967-06-18
911,2014,Belgian Grand Prix,13,2014-08-24
1063,2021,Belgian Grand Prix,13,2021-08-29
267,1994,Belgian Grand Prix,13,1994-08-28
236,1996,Belgian Grand Prix,13,1996-08-25
1087,2022,Belgian Grand Prix,13,2022-08-28
103,2004,Belgian Grand Prix,13,2004-08-29
1037,2020,Belgian Grand Prix,13,2020-08-30
170,2000,Belgian Grand Prix,13,2000-08-27
750,1960,Belgian Grand Prix,13,1960-06-19
1001,2018,Belgian Grand Prix,13,2018-08-26
331,1990,Belgian Grand Prix,13,1990-08-26
203,1998,Belgian Grand Prix,13,1998-08-30
960,2016,Belgian Grand Prix,13,2016-08-28
740,1961,Belgian Grand Prix,13,1961-06-18
731,1962,Belgian Grand Prix,13,1962-06-17
300,1992,Belgian Grand Prix,13,1992-08-30
937,2015,Belgian Grand Prix,13,2015-08-23
502,1980,Belgian Grand Prix,40,1980-05-04
532,1978,Belgian Grand Prix,40,1978-05-21
549,1977,Belgian Grand Prix,40,1977-06-05
517,1979,Belgian Grand Prix,40,1979-05-13
609,1973,Belgian Grand Prix,40,1973-05-20
438,1984,Belgian Grand Prix,40,1984-04-29
581,1975,Belgian Grand Prix,40,1975-05-25
471,1982,Belgian Grand Prix,40,1982-05-09
564,1976,Belgian Grand Prix,40,1976-05-16
487,1981,Belgian Grand Prix,40,1981-05-17
594,1974,Belgian Grand Prix,50,1974-05-12
624,1972,Belgian Grand Prix,50,1972-06-04
354,2010,Brazilian Grand Prix,18,2010-11-07
52,2007,Brazilian Grand Prix,18,2007-10-21
859,2011,Brazilian Grand Prix,18,2011-11-27
176,1999,Brazilian Grand Prix,18,1999-04-11
87,2005,Brazilian Grand Prix,18,2005-09-25
126,2002,Brazilian Grand Prix,18,2002-03-31
70,2006,Brazilian Grand Prix,18,2006-10-22
208,1997,Brazilian Grand Prix,18,1997-03-30
225,1996,Brazilian Grand Prix,18,1996-03-31
544,1977,Brazilian Grand Prix,18,1977-01-23
577,1975,Brazilian Grand Prix,18,1975-01-26
159,2000,Brazilian Grand Prix,18,2000-03-26
110,2003,Brazilian Grand Prix,18,2003-04-06
917,2014,Brazilian Grand Prix,18,2014-11-09
257,1994,Brazilian Grand Prix,18,1994-03-27
35,2008,Brazilian Grand Prix,18,2008-11-02
291,1992,Brazilian Grand Prix,18,1992-04-05
513,1979,Brazilian Grand Prix,18,1979-02-04
499,1980,Brazilian Grand Prix,18,1980-01-27
560,1976,Brazilian Grand Prix,18,1976-01-25
944,2015,Brazilian Grand Prix,18,2015-11-15
987,2017,Brazilian Grand Prix,18,2017-11-12
899,2013,Brazilian Grand Prix,18,2013-11-24
967,2016,Brazilian Grand Prix,18,2016-11-13
143,2001,Brazilian Grand Prix,18,2001-04-01
606,1973,Brazilian Grand Prix,18,1973-02-11
1008,2018,Brazilian Grand Prix,18,2018-11-11
240,1995,Brazilian Grand Prix,18,1995-03-26
879,2012,Brazilian Grand Prix,18,2012-11-25
1029,2019,Brazilian Grand Prix,18,2019-11-17
274,1993,Brazilian Grand Prix,18,1993-03-28
306,1991,Brazilian Grand Prix,18,1991-03-24
107,2004,Brazilian Grand Prix,18,2004-10-24
322,1990,Brazilian Grand Prix,18,1990-03-25
16,2009,Brazilian Grand Prix,18,2009-10-18
192,1998,Brazilian Grand Prix,18,1998-03-29
591,1974,Brazilian Grand Prix,18,1974-01-27
356,1989,Brazilian Grand Prix,36,1989-03-26
404,1986,Brazilian Grand Prix,36,1986-03-23
372,1988,Brazilian Grand Prix,36,1988-04-03
528,1978,Brazilian Grand Prix,36,1978-01-29
420,1985,Brazilian Grand Prix,36,1985-04-07
436,1984,Brazilian Grand Prix,36,1984-03-25
484,1981,Brazilian Grand Prix,36,1981-03-29
452,1983,Brazilian Grand Prix,36,1983-03-13
388,1987,Brazilian Grand Prix,36,1987-04-12
468,1982,Brazilian Grand Prix,36,1982-03-21
