raceId,driverId,constructorId,grid,positionOrder,points,statusId
raceId,driverId,constructorId,,,0,
1037,1,131,1,1,25,1
959,1,131,2,1,25,1
993,1,131,1,1,25,1
27,1,1,1,1,10,1
866,1,1,2,1,25,1
903,1,131,1,1,25,1
932,1,131,1,1,25,1
966,1,131,1,1,25,1
999,1,131,14,1,25,1
1015,1,131,1,1,25,1
1134,1,131,3,1,25,1
41,1,1,1,1,10,1
918,1,131,2,1,50,1
1041,1,131,2,1,25,1
1071,1,131,10,1,25,1
1005,1,131,1,1,25,1
1011,1,131,3,1,25,1
1021,1,131,3,1,25,1
1061,1,131,2,1,25,1
942,1,131,2,1,25,1
956,1,131,1,1,25,1
890,1,131,1,1,25,1
926,1,131,1,1,25,1
954,1,131,1,1,25,1
878,1,1,2,1,25,1
1066,1,131,4,1,25,1
1016,1,131,2,1,25,1
1055,1,131,1,1,25,1
937,1,131,1,1,25,1
1030,1,131,1,1,26,1
981,1,131,1,1,25,1
1042,1,131,1,1,26,1
26,1,1,4,1,10,1
968,1,131,1,1,25,1
1012,1,131,2,1,25,1
850,1,1,2,1,25,1
10,1,1,4,1,10,1
870,1,1,1,1,25,1
929,1,131,1,1,25,1
1052,1,131,2,1,25,1
908,1,131,6,1,25,1
978,1,131,1,1,25,1
982,1,131,5,1,25,1
1000,1,131,1,1,25,1
1036,1,131,1,1,25,1
42,1,1,1,1,10,1
973,1,131,1,1,25,1
1014,1,131,2,1,26,1
1051,1,131,1,1,25,1
913,1,131,1,1,25,1
970,1,131,1,1,25,1
1004,1,131,2,1,25,1
980,1,131,1,1,25,1
1039,1,131,1,1,26,1
928,1,131,1,1,25,1
34,1,1,1,1,10,1
843,1,1,3,1,25,1
934,1,131,1,1,25,1
938,1,131,1,1,25,1
985,1,131,1,1,25,1
344,1,1,1,1,25,1
23,1,1,3,1,10,1
958,1,131,2,1,25,1
975,1,131,1,1,25,1
984,1,131,1,1,25,1
1002,1,131,3,1,25,1
992,1,131,2,1,25,1
1025,1,131,2,1,26,1
1008,1,131,1,1,25,1
14,1,1,1,1,10,1
18,1,1,1,1,10,1
858,1,1,2,1,25,1
901,1,131,1,1,25,1
1017,1,131,1,1,25,1
996,1,131,1,1,25,1
1027,1,131,3,1,25,1
1033,1,131,1,1,26,1
1045,1,131,1,1,25,1
914,1,131,2,1,25,1
965,1,131,1,1,25,1
1009,1,131,1,1,25,1
50,1,1,1,1,10,1
872,1,1,1,1,25,1
916,1,131,2,1,25,1
904,1,131,1,1,25,1
1034,1,131,1,1,25,1
1043,1,131,2,1,26,1
46,1,1,1,1,10,1
912,1,131,1,1,25,1
1132,1,131,2,1,25,1
1032,1,131,1,1,25,1
349,1,1,2,1,25,1
940,1,131,2,1,25,1
957,1,131,1,1,25,1
1019,1,131,2,1,26,1
902,1,131,2,1,25,1
967,1,131,1,1,25,1
1072,1,131,1,1,26,1
915,1,131,1,1,25,1
1044,1,131,6,1,25,1
1054,1,131,2,1,25,1
941,1,131,2,1,25,1
953,1,131,3,1,25,1
1003,1,131,1,1,25,1
343,1,1,2,1,25,1
308,102,1,1,1,10,1
421,102,32,1,1,9,1
432,102,32,2,1,9,1
294,102,1,3,1,10,1
307,102,1,1,1,10,1
382,102,1,1,1,9,1
410,102,32,1,1,9,1
391,102,32,2,1,9,1
331,102,1,1,1,9,1
315,102,1,1,1,10,1
392,102,32,2,1,9,1
369,102,1,1,1,9,1
305,102,1,1,1,10,1
373,102,1,1,1,9,1
366,102,1,1,1,9,1
377,102,1,1,1,9,1
324,102,1,1,1,9,1
329,102,1,1,1,9,1
386,102,1,1,1,9,1
376,102,1,1,1,9,1
380,102,1,1,1,9,1
405,102,32,1,1,9,1
275,102,1,4,1,10,1
306,102,1,1,1,10,1
301,102,1,2,1,10,1
314,102,1,1,1,10,1
364,102,1,1,1,9,1
288,102,1,1,1,10,1
381,102,1,1,1,9,1
287,102,1,2,1,10,1
278,102,1,3,1,10,1
274,102,1,3,1,10,1
321,102,1,5,1,9,1
299,102,1,3,1,10,1
359,102,1,1,1,9,1
379,102,1,3,1,9,1
325,102,1,1,1,9,1
332,102,1,1,1,9,1
358,102,1,1,1,9,1
320,102,1,1,1,5,1
357,102,1,1,1,9,1
438,105,6,1,1,9,1
424,105,6,3,1,9,1
482,105,25,3,1,9,1
458,105,25,6,1,9,1
428,105,6,8,1,9,1
334,117,6,2,1,9,1
372,117,1,3,1,9,1
439,117,1,2,1,9,1
450,117,1,2,1,9,1
277,117,3,1,1,10,1
