raceId,driverId,constructorId,starting_grid,final_position,sprint_points
1071,1,131,20,5,0
1065,1,131,2,5,0
1126,1,131,12,16,0
1077,1,131,13,14,0
1107,1,131,18,10,0
1141,1,131,11,11,0
1118,4,117,15,11,0
1116,4,117,12,13,0
1131,4,117,13,15,0
1065,4,214,13,11,0
1139,4,117,14,18,0
1110,4,117,15,20,0
1071,4,214,9,12,0
1125,4,117,3,20,0
1061,4,214,11,7,0
1126,4,117,8,17,0
1095,4,214,7,18,0
1143,4,117,11,11,0
1084,4,214,8,20,0
1141,4,117,0,18,0
1077,4,214,5,9,0
1071,8,51,13,18,0
1061,8,51,17,13,0
1065,9,51,19,18,0
1077,20,117,9,13,0
1065,20,117,11,12,0
1061,20,117,10,8,0
1071,20,117,11,10,0
1095,20,117,13,9,0
1084,20,117,20,19,0
1116,807,210,16,15,0
1141,807,210,12,20,0
1125,807,210,13,19,0
1115,807,210,7,16,0
1101,807,210,12,15,0
1131,807,210,17,19,0
1110,807,210,20,17,0
1118,807,210,12,18,0
1110,815,9,8,19,0
1071,815,9,3,4,0
1143,815,9,0,20,0
1065,815,9,9,9,0
1115,815,9,8,18,0
1139,815,9,11,9,0
1061,815,9,5,20,0
1110,817,213,11,10,0
1116,817,213,10,12,0
1118,817,213,8,9,0
1061,817,1,7,6,0
1131,817,215,16,14,0
1084,817,1,16,12,0
1095,817,1,14,11,0
1125,817,215,14,11,0
1071,817,1,8,11,0
1110,822,51,17,13,0
1139,822,15,18,20,0
1141,822,15,15,16,0
1126,822,15,19,14,0
1143,822,15,13,12,0
1107,822,51,0,20,0
1095,822,51,18,14,0
1118,822,51,14,19,0
1101,822,51,15,16,0
1125,822,15,9,12,0
1115,822,51,13,10,0
1084,822,51,12,10,0
1131,822,15,18,18,0
1116,822,51,18,16,0
1101,825,210,13,11,0
1115,825,210,19,14,0
1110,825,210,18,14,0
1126,825,210,14,18,0
1125,825,210,12,10,0
1118,825,210,11,16,0
1116,825,210,17,18,0
1131,825,210,11,9,0
1107,825,210,10,14,0
1143,825,210,15,10,0
1061,832,6,9,11,0
1065,832,6,7,7,0
1115,839,214,10,17,0
1143,839,214,17,14,0
1118,839,214,16,14,0
1141,839,214,16,13,0
1131,839,214,8,11,0
1077,839,214,19,16,0
1125,839,214,17,13,0
1101,839,214,0,18,0
1126,839,214,13,15,0
1139,839,214,17,15,0
1095,839,214,6,17,0
1116,839,214,13,11,0
1061,839,214,13,10,0
1065,839,214,14,13,0
1071,839,214,10,9,0
1110,839,214,9,9,0
1131,840,117,12,10,0
1095,840,117,15,16,0
1118,840,117,17,12,0
1084,840,117,17,13,0
1071,840,117,15,14,0
1126,840,117,7,19,0
1116,840,117,14,20,0
1065,840,117,12,10,0
1110,840,117,14,11,0
1139,840,117,13,13,0
1061,840,117,15,14,0
1143,840,117,14,13,0
1125,840,117,15,14,0
